0,0,1,'`',~'
0,1,1,'1','!'
0,2,1,'2','@'
0,3,1,'3','#'
0,4,1,'4','$'
0,5,1,'5','%'
0,6,1,'6','^'
0,7,1,'7','&'
0,8,1,'8','*'
0,9,1,'9','('
0,10,1,'0',')'
0,11,1,'-','_'
0,12,1,'=','+'
0,0,0,'TAB','TAB'
1,0,1,'q','Q'
1,1,1,'w','W'
1,2,1,'e','E'
1,3,1,'r','R'
1,4,1,'t','T'
1,5,1,'y','Y'
1,6,1,'u','U'
1,7,1,'i','I'
1,8,1,'o','O'
1,9,1,'p','P'
1,10,1,'[','{'
1,11,1,']','}'
1,12,1,'\\','|'
2,0,0,'CAPS','CAPS'
2,1,1,'a','A'
2,2,1,'s','S'
2,3,1,'d','D'
2,4,1,'f','F'
2,5,1,'g','G'
2,6,1,'h','H'
2,7,1,'j','J'
2,8,1,'k','K'
2,9,1,'l','L'
2,10,1,';',':'
2,11,1,'\'','\"'
3,0,0,"SHIFT","SHIFT"
3,1,1,'z','Z'
3,2,1,'x','X'
3,3,1,'c','C'
3,4,1,'v','V'
3,5,1,'b','B'
3,6,1,'n','N'
3,7,1,'m','M'
3,8,1,',','<'
3,9,1,'.','>'
3,10,1,'/','?'
